অইন,pronoun
অংশ,noun
অকণ,adjective
অকথা,noun
অকাজ,noun
অকাতৰ,adjective
অকাল,noun
অ‍খি‍য়া,root verb
অগত্যা,adverb
অগাধ,adjective
অঘৈয়া,noun
অচিলা,noun
অচেতন,adjective
অছিদ্ ,adjective
অজগৰ,noun
অজলা,adjective
অতিৰথী,noun
অতুল ,adjective
অথচ,preposition 
অথবা,preposition 
অদৰকাৰ,noun
অদেয়,adjective
অদ্য,preposition 
অধৰ,noun
অধিক,adjective
অধিকাৰ,noun
অধীন,adjective
অনন্য,adjective
অনাই-বনাই,adverb 
অনিল,noun
অপচয়,noun
অপৰিনত,adjective 
অপসৰণ,noun
অপাদান ,noun
অপেক্ষা,noun
অবিৰাম,adverb
অভাৱ,noun
অভিধেয়,adjective
অমৰ,adjective
অমিল,noun
অলেখ,adjective
অৱদান,noun
অৱশ্য,adverb
অসম,noun
অসাধাৰণ,adjective
অসু্খ,noun
অসূয়া,noun
অহৰহ,adverb
অক্ষৰ,noun
অক্ষ‍ি,noun
আই,noun
আইনা,noun
আঁউজ,root verb
আও,preposition 
আওখাল্,root verb
আকণ,noun
আকাশ,noun
আকৃতি,noun
আঁকোৰা,adjective
আখৰ,noun
আগত,adjective
আচকন,noun
আঁচু,noun
আজৰি,noun
আজীৱন,adverb
আঁট্,root verb
আঠা,noun
আঢ্য,adjective
আথে-বেথে,adverb
আদৰ,noun
আদা,noun
আধা,noun
আনন,noun
আপদ,noun
আপেল,noun
আবৰী,adjective
আডৰণ,adjective
আম,noun
আমনি,noun 
আমোলা,root verb
আয়ত,adjective
আৰণ্য,noun
আৰণ্যক,adjective
আৰতি,noun
আৰূ,preposition 
 আলচ,noun
আলচ্,root verb
আলূ,noun
আৱৰ্,root verb
আশ,noun 
আশী, noun
আশ্রম,noun
আস্,preposition 
আহ,root verb
আহা,preposition 
আঁহে আঁহে,adverb
আহোম,noun
আহিুক,adjective
আক্ষৰিক,adjective
আক্ষেপ,noun 
ইউনানী,noun
ইঃ,preposition 
ইকৰা,noun
ইচ্,preposition 
ইচৌ,adjective 
ইতি,preposition 
ইতিমধে্য,adverb
ইত্যাদি,preposition 
ইন্তাকাল,noun
ইনাম,noun
ইনদিৰা,noun
ইনদূ,noun
ইনদূৰ,noun
ইনধন,noun
ইপৰীয়া,adjective 
ইপাৰ,noun
ইপাৰ-সিপাৰ,noun
ইপিনে-সিপিনে,adverb
ইপূৰী,noun
ইফলীয়া,adjective 
ইফাল-সিফাল,noun
ইবাৰ,adverb
ইমান,adjective 
ইমানখিনিতে,adverb
ইমানতে,adverb
ইমাম ,noun
ইমাৰত,noun
ইমূখ-সিমূখ,noun
ইয়ওা,noun
ইয়ালৈ,adverb
ইয়াকি্,noun
ইয়েৰিং,noun
ইলিচ্,noun
ইলূটি-সিলূটি,noun
ইলেক্,noun
ইনট,noun
ইস্,preposition 
ই-সি,pronoun
ইহ,preposition 
ইহকাল,noun
ইহলোক,noun
ইহাত-সিহাত,adjective 
ইহূদি,noun
ইক্ষূ,noun
ঈকাৰ,noun
ঈগল,noun
ঈদ,noun
ঈদ্গাহ,noun
ঈদ মোবাৰক,noun
ঈদল্ফিত্ৰ,noun
ঈদ্-উজ্-জোহা,noun
ঈদৃশ,adjective 
ঊপসা,noun
ঈশ,noun
ঈশান কোণ,noun
ঈশবৰ,noun
